"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"17942","Davinson Sánchez","DEF","Spurs",1.1,0,0,0,0,0,367,153,0,0,0,0,"2022-03-16T19:30:00Z",0,4,0,0,0,0,29,0,196385,2,0,0,0,-18007,3119,21126,45,"False",0,29
"17943","Kieran Trippier","DEF","Newcastle",0,0,0,0,0,0,678,284,0,0,0,0,"2022-03-13T14:00:00Z",0,6,0,0,0,0,29,0,30212,0,1,0,0,-9267,515,9782,50,"False",0,29
"17944","Kieran Trippier","DEF","Newcastle",0,0,0,0,0,0,678,195,0,0,0,0,"2022-03-17T19:45:00Z",0,8,0,0,0,0,29,0,30212,0,1,0,0,-9267,515,9782,50,"False",0,29
"17945","Mark Gillespie","GK","Newcastle",-1,0,0,0,0,0,514,284,0,0,0,0,"2022-03-13T14:00:00Z",0,6,0,0,0,0,29,0,33148,0,1,0,0,4609,5370,761,39,"False",0,29
"17946","Mark Gillespie","GK","Newcastle",-1,0,0,0,0,0,514,195,0,0,0,0,"2022-03-17T19:45:00Z",0,8,0,0,0,0,29,0,33148,0,1,0,0,4609,5370,761,39,"False",0,29
"17948","Abdoulaye Doucouré","MID","Everton",3.1,0,0,8,0,1.8,173,286,1,0,1.4,9.8,"2022-03-13T14:00:00Z",90,20,0,0,0,0,29,0,111696,1,0,2,2,4795,6389,1594,53,"True",0,29
"17949","Abdoulaye Doucouré","MID","Everton",3.1,0,0,5,1,1.2,173,195,0,0,1,7.6,"2022-03-17T19:45:00Z",90,14,0,0,0,0,29,0,111696,0,1,1,3,4795,6389,1594,53,"True",0,29
"17950","Tim Krul","GK","Norwich",1.1,0,2,31,0,13.3,314,287,2,0,5.4,40.8,"2022-03-13T14:00:00Z",90,10,0,0,0,0,29,5,101827,1,2,0,4,-507,1005,1512,45,"False",0,29
"17951","Jacob Sørensen","DEF","Norwich",-0.5,0,0,0,0,0,327,287,0,0,0,0,"2022-03-13T14:00:00Z",0,10,0,0,0,0,29,0,4076,1,2,0,0,-23,9,32,43,"False",0,29
"17952","Jamal Lewis","DEF","Newcastle",0,0,0,0,0,0,311,284,0,0,0,0,"2022-03-13T14:00:00Z",0,6,0,0,0,0,29,0,7329,0,1,0,0,-104,55,159,42,"False",0,29
"17953","Jamal Lewis","DEF","Newcastle",0,0,0,0,0,0,311,195,0,0,0,0,"2022-03-17T19:45:00Z",0,8,0,0,0,0,29,0,7329,0,1,0,0,-104,55,159,42,"False",0,29
"17954","Remi Matthews","GK","Crystal Palace",-1,0,0,0,0,0,561,285,0,0,0,0,"2022-03-14T20:00:00Z",0,12,0,0,0,0,29,0,41165,0,0,0,0,5707,6805,1098,39,"True",0,29
"17955","Rodrigo Hernandez","MID","Man City",3.5,0,0,10,1,9.8,266,285,0,0,5.2,16,"2022-03-14T20:00:00Z",90,7,0,0,0,0,29,0,82418,0,0,26,3,-1035,2380,3415,55,"False",0,29
"17956","Winston Reid","DEF","West Ham",0,0,0,0,0,0,410,290,0,0,0,0,"2022-03-13T14:00:00Z",0,2,0,0,0,0,29,0,72381,1,2,0,0,-578,0,578,39,"True",0,29
"17958","Ademola Lookman","MID","Leicester",2.3,0,0,0,0,0,587,281,0,0,0,0,"2022-03-13T16:30:00Z",0,1,0,0,0,0,29,0,24786,0,2,0,0,-4303,806,5109,60,"False",0,29
"17959","Hakim Ziyech","MID","Chelsea",4.2,0,0,11,1,43.5,131,284,0,0,5.2,6.6,"2022-03-13T14:00:00Z",90,14,0,0,0,0,29,0,107664,0,1,2,2,-24637,5589,30226,73,"True",1,29
"17960","Marcus Bettinelli","GK","Chelsea",1,0,0,0,0,0,606,284,0,0,0,0,"2022-03-13T14:00:00Z",0,14,0,0,0,0,29,0,3753,0,1,0,0,22,114,92,40,"True",0,29
"17963","Sonny Perkins","MID","West Ham",0.5,0,0,0,0,0,634,290,0,0,0,0,"2022-03-13T14:00:00Z",0,2,0,0,0,0,29,0,505,1,2,0,0,-9,16,25,45,"True",0,29
"17964","Patrick Bamford","FWD","Leeds",0.8,0,0,2,0,14.5,189,287,0,0,2.1,0,"2022-03-13T14:00:00Z",45,15,0,0,0,0,29,0,269777,1,2,8,1,6288,7813,1525,77,"True",0,29
