"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","expected_assists","expected_goal_involvements","expected_goals","expected_goals_conceded","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","starts","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"10095","Chris Mepham","DEF","Bournemouth",0,0,0,0,0,0,71,0,0,0,0,171,0,0,0,0,"2022-12-31T15:00:00Z",0,7,0,0,0,0,18,0,12466,0,2,0,0,0,-255,201,456,44,"True",0,18
"10097","Willy Caballero","GK","Southampton",0,0,0,0,0,0,424,0,0,0,0,173,0,0,0,0,"2022-12-31T15:00:00Z",0,9,0,0,0,0,18,0,90788,0,1,2,0,0,-500,539,1039,39,"False",0,18
"10098","Alex Mighten","MID","Nott'm Forest",0,0,0,0,0,0,395,0,0,0,0,177,0,0,0,0,"2023-01-01T16:30:00Z",0,6,0,0,0,0,18,0,1177,0,1,1,0,0,-8,0,8,49,"True",0,18
"10101","Josh Dasilva","MID","Brentford",4.5,0,0,21,1,0.8,83,0.00191,0.36741,0.3655,0.8359,179,0,1,4.9,31.6,"2022-12-30T19:45:00Z",66,19,0,0,0,0,18,0,494513,1,2,0,17,8,2660,24133,21473,42,"False",0,18
"10102","Roberto Firmino","FWD","Liverpool",0,0,0,0,0,0,279,0,0,0,0,174,0,0,0,0,"2022-12-30T20:00:00Z",0,10,0,0,0,0,18,0,432821,0,1,2,0,0,-122410,1097,123507,81,"True",0,18
"10103","Thiago Alcántara do Nascimento","MID","Liverpool",3,0,0,19,0,33.3,277,0.03165,0.12145,0.0898,0.9925,174,1,0,8.2,28.4,"2022-12-30T20:00:00Z",90,10,0,0,0,0,18,0,85110,1,1,2,20,2,-808,2969,3777,52,"True",0,18
"10108","Moussa Niakhaté","DEF","Nott'm Forest",0,0,0,0,0,0,507,0,0,0,0,177,0,0,0,0,"2023-01-01T16:30:00Z",0,6,0,0,0,0,18,0,4940,0,1,1,0,0,-82,7,89,43,"True",0,18
"10110","Kyle Walker-Peters","DEF","Southampton",1,0,0,8,0,1.6,409,0.00296,0.00296,0,1.5336,173,2,0,0.5,3.8,"2022-12-31T15:00:00Z",90,9,0,0,0,0,18,0,78464,1,1,2,0,1,70,1609,1539,44,"False",0,18
"10111","Joe Rothwell","MID","Bournemouth",0.5,0,0,3,0,0.7,505,0.01097,0.01097,0,0.619,171,0,0,0.3,1.8,"2022-12-31T15:00:00Z",20,7,0,0,0,0,18,0,552,0,2,0,0,1,-5,9,14,49,"True",0,18
"10112","Nuno Varela Tavares","DEF","Arsenal",0,0,0,0,0,0,17,0,0,0,0,172,0,0,0,0,"2022-12-31T17:30:00Z",0,5,0,0,0,0,18,0,803,0,4,2,0,0,-4,0,4,45,"False",0,18
"10115","Saman Ghoddos","MID","Brentford",1,0,0,5,0,17.4,87,0.08848,0.13928,0.0508,0.4058,179,0,0,4.1,6.4,"2022-12-30T19:45:00Z",23,19,0,0,0,0,18,0,2603,0,2,0,17,1,-11,26,37,48,"False",0,18
