"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"4295","Konstantinos Mavropanos","DEF","Arsenal",0,0,0,0,0,0,24,71,0,0,0,0,"2021-10-18T19:00:00Z",0,7,0,0,0,0,8,0,57,2,2,0,0,0,0,0,45,"True",0,8
"4303","Marcus Forss","FWD","Brentford",-0.7,0,0,3,0,0.3,88,73,0,0,2.7,0.6,"2021-10-16T16:30:00Z",23,6,0,0,0,0,8,0,8592,1,0,26,1,-236,745,981,53,"True",0,8
"4307","Folarin Balogun","FWD","Arsenal",0.5,0,0,0,0,0,530,71,0,0,0,0,"2021-10-18T19:00:00Z",0,7,0,0,0,0,8,0,30175,2,2,0,0,-1307,1697,3004,48,"True",0,8
"4309","Willian Borges Da Silva","MID","Arsenal",0,0,0,0,0,0,3,71,0,0,0,0,"2021-10-18T19:00:00Z",0,7,0,0,0,0,8,0,7512,2,2,0,0,-243,0,243,63,"True",0,8
"4317","Dominic Thompson","DEF","Brentford",-1,0,0,0,0,0,498,73,0,0,0,0,"2021-10-16T16:30:00Z",0,6,0,0,0,0,8,0,4141,1,0,0,0,-20,170,190,44,"True",0,8
"4320","Rúnar Alex Rúnarsson","GK","Arsenal",0,0,0,0,0,0,2,71,0,0,0,0,"2021-10-18T19:00:00Z",0,7,0,0,0,0,8,0,73624,2,2,0,0,-4102,0,4102,40,"True",0,8
"4336","Anthony Martial","FWD","Man Utd",2.3,0,0,0,0,0,278,75,0,0,0,0,"2021-10-16T14:00:00Z",0,9,0,0,0,0,8,0,52485,2,4,0,0,-533,1980,2513,76,"False",0,8
"4338","Rico Henry","DEF","Brentford",0.7,0,0,13,0,19.9,83,73,1,0,3.3,13.2,"2021-10-16T16:30:00Z",90,6,0,0,0,0,8,0,93434,1,0,0,2,3350,8840,5490,45,"True",0,8
"4346","Joel Matip","DEF","Liverpool",4.2,0,0,25,1,2.8,224,80,0,0,1.9,12.4,"2021-10-16T11:30:00Z",90,18,0,0,0,0,8,0,295642,5,0,4,6,9918,29087,19169,50,"False",0,8
"4348","Virgil van Dijk","DEF","Liverpool",4.2,0,0,27,1,11.2,229,80,0,0,3,16.8,"2021-10-16T11:30:00Z",90,18,0,0,0,0,8,0,1470871,5,0,2,6,39838,86062,46224,66,"False",0,8
